aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
LOTI.05.082,Pehmerobootika,3.0,sügis,"Kursus annab ülevaate pehmerobootikast kui teadusvaldkonnast, olulistest tehnoloogiatest ning seostest loodusega bioinspireeritud disaini näol.",,"Indrek Must, Kadri-Ann Pankratov","- Pärast aine läbimist oskab õliõpilane:
- 1.	Defineerida pehmerobootika rakendusvälja;
- 2.	Seletada pehmerobootika seost robootika, keemia ja bioloogiaga;
- 3.	Seletada pehmerobootika võtmemõisteid, kasutades sobivaid näiteid;
- 4.	Loetleda, seletada ja võrrelda levinud pehmerobootikatehnoloogiaid;
- 5.	Lugeda kriitiliselt ja analüüsida pehmerobootika-alast teadusteksti;
- 6.	Loetleda pehmerobootika eeliseid, kasutades sobivaid näiteid;
- 7.	Seletada bioinspireeritud disaini eeliseid, kasutades sobivaid näiteid;
- 8.	Identifitseerida pehmerobootika jaoks tähenduslikke elemente looduses ning formuleerida vastavaid printsiipe robootikakeeles;
- 9.	Rakendada pehme (bioinspireeritud) robootika põhimõtteid originaalses praktilises disainis.",inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"The individual tasks give weight to the final grade as follows:
-	 Literature task: 25%
-	Project task: 45%
-	Review task: 10%
-	Tests: 20%

Tööde osakaalud lõpphindes:
-	Töö kirjandusallikaga: 25%
-	Projekt: 45%
-	Retsenseerimine: 10%
-	Tests: 20%","The final grade is issued when all independent tasks have been passed (at least minimum positive grade).

Lõpphinne määratakse, kui kõik iseseisvad tööd on teostatud vähemalt minimaalsele positiivsele hindele",
HVKU.05.013,Dramaturgia praktikum,6.0,sügis,"* Üliõpilane kirjutab või koostab kursuse õppejõu ja professionaalse dramaturgi juhendamisel kaks dramaturgilist teksti (lühinäidendi, dramatiseeringu, stsenaariumi, lavakava vms) ning reflekteerib oma tööd teoreetiliselt.
* Aines loetakse vastavaid teoreetilisi tekste ja uuritakse erinevaid dramaturgia-näiteid.","Reede, Laupäev","Luule Epner, Riina Oruaas","- * Üliõpilane tunneb dramatiseerimise ja näidendi kirjutamise põhimõtteid, oskab neid praktiliselt rakendada ja oma tööd kriitiliselt reflekteerida.
- * Üliõpilane tunneb kaasaegseid dramaturgia-alaseid ja adaptsiooniteooriaid ja oskab neid erinevate teoste analüüsis rakendada.",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,magistriõpe,"Mitteeristav hindamine: praktikumides osalemine, kahe põhiülesande (dramatiseering ja lühinäidend/stsenaarium ) ning jooksvate kirjutamisülesannete esitamine.","Osalemine praktikumides, iseseisvate tööde esitamine.",
LTOM.01.004,Taimede stress,3.0,sügis,"Stressi mõiste, üldised stressireaktsioonid, oksüdatiivne stress. Abiootilised ja biootilised stressifaktorid ja nende mõjumehhanismid. Madal ja kõrge temperatuur, vee liig ja defitsiit, mulla happesus, mineraalainete liig ja defitsiit, 
 valguse liig ja defitsiit, soolsus, CO2 ja saasteainete kõrgenenud kontsentratsioon, UV-kiirguse ja radioaktiivse kiirguse mõju. Saasteainete levik, liigid ja mõjumehhanismid, globaalsete muutuste mõju, herbivooride, bakterite ja viiruste mõju, konkurentsitingimuste mõju erinevatel organisatsiooni tasanditel (rakk, organism, kooslus).","Esmaspäev, Kolmapäev, Neljapäev","Bikash Kharel, Eele Õunapuu-Pikas, Hanna Hõrak, Ingmar Tulva, Mai Kukumägi",#NAME?,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"Individual work, seminar presentations, seminar activity and testscore is taken into account .Tulemus kujuneb iseseisva töö, testi, ettekande ja osalusaktiivsuse hinnete keskmisena","All seminar-presentations done, individual work done, test score over 50%
Seminariettekanne koostatud ning esitatud, iseseiseve töö esitatud, testi tulemus > 50%",
FLKU.03.087,Tekstuaalsed representatsioonid etnoloogias,3.0,sügis,"Kursuse käigus keskendutakse etnograafilistes tekstides loodava kuvandi kujundamisele ja kujutamisele. Eritletakse indiviidi ja kogukonna seesmise ja välise kuvandi vahekorda, etnograafilises representatsioonis kajastuvat positsioneeritust, vastavaid metadiskursiivseid praktikaid ja nende ajaloolist konteksti.","Neljapäev, Laupäev",Kristin Kuutma,"- Üliõpilane
- - oskab kriitiliselt arutleda etnograafilise representatsiooni teoreetiliste ja metodoloogiliste aspektide teemal;
- - on arendanud teaduslikku suulist ja kirjalikku väljendusoskust.",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,magistriõpe,"Hinnatakse tudengite osalemist ja esinemist seminarides ning esitatud kirjalikke koduseid töid. 

Students will be assessed on their performance in seminars and by their written seminar preparation tasks.","Tudengilt oodatakse:
-	aktiivset seminaride arutelus osalemist;
-	regulaarset koduse töö esitamist kirjalikult (seminari toimumise päevaks).
 

Students are expected to:
- participate actively  in seminar discussions;
- present regularly written homework.",
LOOM.03.122,Paleontoloogia,6.0,sügis,"Kursuse raames tutvustatakse paleontoloogia kui teaduse struktuuri, elu tekke probleeme, antakse ülevaade merelistest ja maismaalistest elualadest ning põhilistest fossiiligruppidest süstemaatilise ülevaate kujul, koos praktilise osaga kivististe kasutamisest geoloogilistel eesmärkidel.",,"Oive Tinn, Tõnu Meidla","- Kursuse lõpetanu ...
- * omab professionaalseks geoloogiliseks tööks vajalikul tasemel teadmisi põhiliste kivistisegruppide anatoomiast, levikust ning praktilistest rakendamisvõimalustest geoloogiliste tööde raames erineva vanusega kivimite korreleerimisel;
- * oskab praktiliselt eristada põhilisi stratigraafiliselt oluliste kivististe gruppe ning omab üldteadmisi olulisemate rühmade klassifitseerimise põhialustest;
- * oskab hinnata kollektsioneeritud kivististe evolutsioonilist ja geoloogilist tähtsust;
- * tunneb kivististe stratigraafilise kasutamise üldisi põhimõtteid;
- * omab professionaalseks tööks vajalikul tasemel teadmisi biostratigraafiast ja biostratigraafilistest üksustest;
- * omab professionaalseks tööks vajalikul tasemel teadmisi paleontoloogilisest proovimisest, laboratoorsetest prepareerimismeetoditest ja paleontoloogilisest eritarkvarast;
- * on suuteline praktikas rakendama eelnimetatud teadmisi ning paleontoloogilise andmeanalüüsi põhimeetodeid.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Teoreetiliste teadmise kontroll eksamil,"Ettekande sooritamine, arvestuse sooritamine praktikumis omandatud teadmiste kontrolliks.",
HVLC.01.013,"Inglise keel geograafia, geoloogia ja keskkonnatehnoloogia üliõpilastele, tase B2",3.0,sügis,"Erialaste artiklite lugemine, tekstide kuulamine ja analüüsimine, töö sõnavaraga, erialaga seonduva ettekande pidamine, erialastel teemadel diskuteerimine.
Kursusel käsitletakse näiteks järgnevaid teemasid:
1) kliimamuutus
2) jätkusuutlik elustiil
3) jäätmed",,Ele Sepp,"- Kursuse läbinud tudeng
- 1) oskab kasutada õpitud akadeemilist sõnavara erinevates tööga seotud situatsioonides
- 2) suudab mõista erialaseid tekste ja leida endale olulist informatsiooni
- 3) oskab teha erialast ettekannet",eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, magistriõpe","Arvestus saadakse siis, kui semestri jooksul on täidetud kõik hindamisele pääsemise tingimused.
You will pass the course if you have met all the requirements mentioned above.","1. Osalemine tundides (vähemalt 75%). Participation in at least 75% of classes.
2. Ettekande tegemine (10-12 min). Making a presentation (10-12 minutes).
3. Kodutööde õigeaegne esitamine (teemad ja hindamiskriteeriumid lepitakse tunnis ühiselt kokku). Submitting written homework on time (the topics and assessment criteria will be agreed on beforehand in the class)
4. Erialase lektüüri lugemine (25 lk). Reading specialist literature in their field (25 pages).",
LTBI.00.015,Taimefüsioloogia praktikum,3.0,sügis,"Taimefüsioloogias kasutatavate põhimeetodite teoreetiliste aluste tundmaõppimine ja juhendi järgi nende praktiline rakendamine.

Käsitletavad teemad:
- Ainete absorptsioonispektrid, analüüdi kontsentratsiooni spektrofotomeetriline määramine.
- taimehormoonide (auksiini) roll taime pikkuskasvus
- taime reaktsioonid patogeenidele (bakterjaalse nakkuse näitel) 
- Ensüümikineetika ja kineetiliste parameetrite määramine
- Taimele iseloomulike ühendite ja ensüümide määramine
- Fotosünteesi, kasvu ning veevahetuse parameetrite (veepotentsiaal, hüdrauliline juhtivus jne.) määramine",,"Ekaterina Ponamareva, Hanna Hõrak, Ingmar Tulva, Kajal Samantara, Mikk Välbe, Patricia Kika Obinwanne","- Kursuse läbinud üliõpilane:
- - oskab kasutada laboriseadmeid eksperimentide läbiviimiseks.
- - tunneb peamisi laboritöö meetodeid ja nende tööpõhimõtteid.
- - oskab eksperimenditulemusi analüüsida ja tulemuste alusel protokolle vormistada.",inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,"During practical work supervisors will ask questions about the work. If you are prepared and know what you are doing you will get +1 points, if your understanding of the work has significant shortcomings  or you clearly haven't prepared you will get 0 points! As there are 10 tasks you can get up to 10 points.  
The short reports for each experiment MUST be handed in on the next following course-day. If the calculations are correct and the prepared protocol is filled correctly (note on occasion questions may be asked that you need to answer briefly), the protocol will be noted as passed. Each passed protocol can deliver max. 9 credits. If errors occur each protocol can be corrected twice. With every re-submission you lose 2 points of the maximal score.
Should the report still be insufficient after two attempts to correct it, the report gives you zero points but is considered as passed.
Submission with delay will lose 3 points and 1 additional point for every next week when the report is not submitted.
In order to pass the course, all 10 tasks/experiments have to be conducted. 
All 10 protocols have to be submitted, any un-submitted protocol will prevent passing the course.
In order to pass, 60% of all possibly reachable credits (100) must be gained.",Students must perform all laboratory works and submit all reports,LTMR.08.002 Biokeemia
USUS.03.098,Konfliktoloogia,3.0,sügis,"Kursus annab ülevaate suhtlemiskonflikti tekkimise, arenemise ja lahendamise psühholoogilistest seaduspärasustest. ",Esmaspäev,Tõnu Lehtsaar,#NAME?,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe, rakenduskõrgharidusõpe","Kirjaliku essee esitamine Moodles.
Eksamitööd (esseed) hinnatakse sooritatud/mitte sooritatud põhimõttel.","Loengutel osalemine. 
Kohustusliku raamatu läbilugemine.",
LOFY.02.028,Sensorid ja sensormaterjalid,3.0,sügis,"Loengukursus annab põhiteadmised sensoritest ja neid iseloomustavatest parameetritest. Vaadeldakse tahketel materjalidel põhinevaid elektroonilisi, optilisi ja mikromehhaanilisi sensoreid, muundureid ja sensorsüsteeme. Käsitletakse materjalide funktsionaalseid omadusi, mis võimaldavad neid materjale kasutada sensorite loomisel. Iseloomustatakse uusimaid suundumusi sensorite tehnoloogias.",,Raivo Jaaniso,"- Ainekursuse lõpetamisel üliõpilased:
1. Teavad erinevate füüsikaliste ja keemiliste sensorite tööpõhimõtteid ja sensoreid iseloomustavaid põhilisi parameetreid.
2. Teavad olulisemaid sensormaterjale ning nende põhiomadusi.
3. Omavad ülevaadet erinevat tüüpi sensorite rakendusvaldkondadest.
4. Oskavad lihtsamate mudelite alusel analüüsida sensorite tundlikkuskarakteristikuid.",inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"doktoriõpe, magistriõpe",The weights are as follows: midterm tests - 60%; written report and presentation - 40%,"The tests are passed, written report submitted, presentation successfully given",
LTMS.00.077,Mitmemõõtmelised statistilised meetodid,6.0,sügis,"Kursuses antakse ülevaade järgmistest mitmemõõtmelise statistilise analüüsi meetoditest: peakomponentide analüüs, kanooniline korrelatsioonanalüüs, diskriminantanalüüs, klasteranalüüs, mitmemõõtmeline skaleerimine ja faktoranalüüs. Arvutipraktikumides rakendatakse käsitletud  meetodeid reaalsetele ja simuleeritud andmetele.",,Kristi Kuljus,"- Aine läbinud üliõpilane
- - tunneb kursuse jooksul käsitletud mitmemõõtmelise analüüsi meetodeid;
- - on aru saanud ja oskab selgitada ideesid, millel vaadeldud meetodid põhinevad;
- - oskab õpitud meetodeid sobivalt arvutitarkvara abil mitmemõõtmelistele andmetele rakendada  ja oskab statistilise analüüsi tulemusi tõlgendada.",inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,The final score is calculated as follows: 0.2test + 0.2home assignments + 0.6exam work,Attendance at computer classes (at least 60%). Approved home assignments.,
LTKT.06.009,Keemilise analüüsi praktikum algajatele,3.0,sügis,Analüütilise keemia praktikum algajatele. Fookuses on anda tudengile praktilised kogemused erinevate lihtsamate keemiliste analüüside läbiviimiseks. Metroloogilised aspektid on kursusesse kaasatud.,,"Anu Teearu-Ojakäär, Astrid Darnell, Ernesto De Jesus Zapata Flores, Irja Helm, Koit Herodes","- Tudeng teab:
- *	Gravimeetrilise ja tiitrimeetrilise analüüsi põhimõtteid ja rakendusi;
- *	keemilise analüüsi prooviettevalmistuse põhimõtteid;
- *	lihtsamate instrumentaalanalüüsi meetodite põhimõtteid.
- Tudeng on võimeline:
- *	korrektselt kasutama põhilisi töövahendeid analüütilise keemia laboris (kaalud, pipetid, büretid, kolvid, magnetsegajad jne);
- *	viima läbi kaalumist ja valmistama lahuseid korrektselt;
- *	viima läbi põhilisi prooviettevalmistuse etappe
- *	viima läbi lihtsamat keemilist  analüüsi (ka instrumentaalmeetoditel, koostama mõõtmiste kohta protokolli ja arvutama saadud mõõtmiste alusel tulemusi.",inglise keel,"Eristamata (arv, m.arv, mi)",,magistriõpe,"For passing the course: If all practical works have been completed and reports accepted, then it is possible to participate independent practical task. This means that a student gets instructions of practical task and performes it independent and safely using the correct technics with labware and instruments. Student calculates the result and submits the report. Every student is followed by two assessors and pass or fail is an outcome of evaluation matrix (available in Moodle).","Before each practical work student has to make acquaintance with instructions (downloadable in Moodle) and the theory of particular work to perform it. Student first prepares preliminary report using the synthetic data given to each practical work in Moodle. This data can be found in Precalculation test data and this test must be passed before student can come to the practical work. Additionally, student answers theoretical questions of particular work from supervisor before performing practical task. All practical works must be performed safely. After performing practical task student prepares experiment report (previously constructed preliminary report can be used for  this) with experiment description, experimental data and calculation of the results. Experimental data, which is obtained during practical work is treated according to instructions and the report is submitted via Moodle system. Feedback is given for all reports and corrections will be done if needed within one week after performing practical task.
Passing all practical works and acceptance of all experimental reports is prerequisite to pass to practical exam.",
LTOM.01.002,Ökoloogiliste koosluste andmeanalüüs,3.0,sügis,"Kursus toimub suuresti praktiliste ülesannete näol. Ökoloogiliste koosluste andmed: proovide x taksonite maatriks. Statistikapakett R, selle põhitõed. Andmete lugemine ja esialgne uurimine R süsteemis. Andmete transformeerimine. Sarnasuse leidmine. Mitmemõõtmelised analüüsid: ordinatsioon, klasterdamine. Keskkonnaandmete kaasamine koosluste analüüsi. Liigiline ja keskkonna sarnasus. Taksonite andmete kaasamine. Elurikkuse mõõdikud: taksonoomiline, funktsionaalne, fülogeneetiline ja geneetiline mitmekesisus. Takosnite ja elurikkuse leviku mudelid. Aegridade analüüsid. Koosluse andmete simulatsioonid. Tulemuste vormistamine R paketiga.",,"Blanca Luz Caleno Ruiz, Carlos Pérez Carmona, Eleonora Beccari, Enrico Tordoni, Meelis Pärtel, Stênio Ítalo Araújo Foerster","- Kursuse läbinud üliõpilane omab ülevaadet ja mõistab, kuidas kasutada statistikapaketti R ökoloogiliste koosluste analüüsimiseks ning millised on peamised meetodid ökoloogiliste koosluste andmeanalüüsis. Kursuse läbinu oskab iseseisvalt analüüsida koosluse andmeid R süsteemis",inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"doktoriõpe, magistriõpe",Lõpphinne kujuneb praktiliste tööde pealt kumulatiivselt.,in agreement with the lecturer,
HVUS.04.001,Loenguid usuteaduse kullafondist,3.0,sügis,"Kursus on täielikult veebipõhine, pakkudes eri aegadel salvestatud loenguid usuteaduskonna õppejõududelt ja külalistelt. Loengutes kirjeldatakse erinevaid kultuurivaldkondi ja piiblilugude ning -motiivide kajastamist neis. Foorumites ja lõpuessees arutlevad üliõpilased loengute sisu üle.",,Ain Riistan,"- Üliõpilane: 
tunneb ära piiblimotiivide erinevad esinemiskujud eri kultuurivaldkondades; 
hindab kriitiliselt piibli tähtsust õhtumaise kultuuri arenguloos; 
väitleb etteantud teemadel, formuleerib ja kaitseb oma esitatud seisukohti; 
kirjeldab kuidas õpitu haakub tema senise elukogemusega",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,"bakalaureuseõpe, magistriõpe","Kaks foorumit Moodle'i keskkonnas 25% + 25% arvestusest;
essee loengutes kuuldu põhjal 50% arvestusest",,
SVPC.01.075,Mikroökonoomika,3.0,sügis,Sissejuhatus majandusteooriasse. Majandusanalüüsi põhimeetodid. Nõudlus ja pakkumine. Turu tasakaal ja efektiivsus. Majapidamisteooria. Firmateooria. Turuvormid. Tööjõuturg. Avaliku sektori ökonoomika.,,Raivo Soosaar,"- Õppeaine läbinud õppija:
- 1) teab peamisi mikroökonoomika põhimõisteid, teooriaid ning analüüsitehnikaid;
- 2) mõistab paremini ressursside piiratusest tulenevaid kitsendusi ning oskab näha majandusanalüüsi võimalusi ja kasulikkust neis tingimustes;
- 3) tunneb majandusliku optimeerimise aluseid ning oskab modelleerida tarbijate ja tootjate käitumist;
- 4) oskab analüüsida nõudlust, pakkumist ja turu tasakaalu kujunemist (neid mõjutavaid tegureid);
- 5) teab täieliku konkurentsituru, monopoolse konkurentsi, monopoli jt turuvormide eripärasid;
- 6) on paremini kursis peamiste avaliku sektori majandusse sekkumise põhjuste ja meetoditega ning oskab analüüsida majanduspoliitika mõjusid majapidamistele ja ettevõtetele;
- 7) oskab majandusanalüüsi vahendeid rakendada ettevõtluse ja juhtimise praktilistes küsimustes;
- 8) oskab teha sisukat ja kompaktset ettekannet mikroökonoomika teemal.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Pärnu linn,rakenduskõrgharidusõpe,"Ettekanne - 20 p.
Tunniülesanded - 10 p.
Kontrolltöö - 40 p.
Test I - 15 p.
Test II - 15 p.
Kokku saab aines koguda kuni 100 p.
Hindamine kujuneb järgmiselt:","Kontrolltöö, mille eest on võimalik saada maksimaalselt 40 punkti, on sooritatud vähemalt 16 punkti tasemele ehk 40% maksimaalsest tulemusest.",
LTMS.00.038,Biomeetria bioloogidele,6.0,sügis,"Kursus annab ülevaate statistilise andmeanalüüsi alustest ja põhitõdedest, klassikalistest testidest, mudelitest ja mitmemõõtmelise statistika meetoditest. Tutvutakse statistikapaketiga R ning õpitakse seda kasutama andmete töötlemisel ja analüüsitulemuste visualiseerimisel. Kursuse läbimine võimaldab tudengitel otstarbekalt planeerida uuringute läbiviimist, andmete kogumist ja töötlemist, viia läbi klassikalisi analüüse, valida sobiva mudeli vastavalt andmetele ja uurimisküsimusele ning võrrelda erinevaid mudeleid. Samuti annab kursus ülevaate enam levinud mitmemõõtmelise statistika algoritmidest, arendab raportite ja teadusartiklite kriitilise lugemise oskust ning õpetab hindama uuringute ülesehituse, analüüsitulemuste ja järelduste korrektsust.",,Tanel Kaart,"- Õppeaine läbinud üliõpilane
- - oskab planeerida uurimistööd ja koostada katsemetoodikat;
- - suudab püstitada tööhüpoteese ja valida analüüsimetoodikat nende testimiseks;
- - on võimeline läbi viima kogutud andmete statistilist analüüsi - oskab andmeid kirjeldada, teostada erinevaid statistilisi teste ja konstrueerida mudeleid, mõistab mudeli parameetrite sisulist tähendust;
- - tunneb enam levinud mitmemõõtmelise statistika meetodeid, oskab neist valida oma uuringueesmärgile ja andmete struktuurile sobivaid ning tõlgendada tulemusi;
- - mõistab oma eriala teadusuuringuis rakendatud statistikameetodite olemust ja oskab kriitiliselt suhtuda tulemuste esitustesse teadusartiklites.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"bakalaureuseõpe, magistriõpe","""A"" 90-100%
""B"" 80-89,9%
""C"" 70-79,9%
""D"" 60-69,9%
""E"" 51-59,9%
""F"" alla 51%",Ei ole.,
LTFY.03.006,Spektroskoopia eripraktikum,3.0,sügis,Eelnevates spektroskoopia ainetes omandatud teadmiste alusel õpetatakse reaalsete spectroskoopiliste süsteemide koostamist vastavalt konkreetse õlesanne vajadusele.,,Sven Lange,"- Kursuse läbinud üliõpilane oskab:
- - Konstrueerida keskmise keerukusega optiliste ja spektroskoopiliste eksperimentide katseskeeme;
- - Läbi viia korrektseid mõõtmisi erinevatel kaasaegsetel optika ja spektroskoopia mõõteseadmetel;
- - Omab ülevaadet peamistest kaasaegsetest optika ja spektroskoopia mõõtemeetoditest ja tehnikatest.",eesti keel,"Eristamata (arv, m.arv, mi)",,magistriõpe,Tuleb sooritada ja kaitsta kuus praktilist tööd. Praktiliste tööde protokollid tuleb vormistada elektrooniliselt ja saata juhendajale. Tööd vaadatakse läbi ja esitatakse lisaküsimused üldjuhul maili teel. Vajadusel kutsutakse tudeng suulisele protokolli kaitsmisele.,Kõigi praktiliste tööde sooritamine praktikumis.,LTFY.01.014 Spektroskoopia
HVLC.03.018,Hispaania kirjandus- ja tõlkekriitika seminar,6.0,sügis,"Hispaaniakeelse kirjanduse tõlkimine ja retseptsioon Eestis. Ilukirjanduslike tekstide tõlgete analüüsimeetodid- ja võimalused. Tõlkekriitika. Tõlkijapooetika ja tõlkemeetodi väljaselgitamine, tõlkelahenduste mõju tõlgitud teksti autori kuvandi kujunemisel vastuvõtvas kultuuriruumis. Peamised tõlketeoreetilised sõlmpunktid ja tõlkeuurimuse eesmärgid.
Tõlkimise ajalugu hispaaniakeelses kultuuriruumis.
Tõlkimise ja retseptsiooniga seotud küsimused Federico García Lorca, Jorge Luis Borgese, Gabriel García Márqueze, Julio Cortázari ja teiste hispaania keelest tõlgitud autorite näitel.",,Klaarika Kaldjärv,"- Õppeaine läbinud üliõpilane omab ülevaadet hispaaniakeelse kirjanduse retseptsioonist Eestis ja mujal, oskab analüüsida kirjandusteose ajaloolis-kultuurilist konteksti ja selle retseptsiooni lähte- ja vastuvõtvas kultuuris (käsitlused, kriitika, tõlked, tõlkekriitika jne).",eesti keel,"Eristamata (arv, m.arv, mi)",,magistriõpe,"Lõplik tulemus kujuneb seminarides aktiivselt kaasatöötamise, õppematerjali läbitöötamise ja ettekannete esitamise põhjal.",Aine läbimiseks peab üliõpilane aktiivselt osa võtma 75 protsendist seminaridest.,
MV00.00.010,Teadusartikli kirjutamise metoodika ja publitseerimine,3.0,sügis,"Teadusartikli kirjutamise, vormistamise ja avaldamise meetodite omandamine: materjali ja meetodite esitus; tulemuste tabelandmete töötlus ja usaldusväärsuse hinnang; tulemuste näitlikustamisviiside valik (tabel, joonis, diagramm); töö tulemuste diskuteerimine võrreldes kirjanduse andmetega; artikli pealkirja ja autorite loetelu koostamine; kirjanduse viidete esitamine. Kuidas vastata artikli hindajatele ja toimetajale. Publitseerimise eetika ning autorluse põhimõtted. Posterettekannete tegemine.","Teisipäev, Neljapäev","Anneli Uusküla, Djuddah Arthur Joost Leijen, Kersti Pärna, Mariliis Põld, Maris Laan, Ruth Kalda","- Kursuse läbinud doktorant :
- 1.  teab, kuidas planeerida oma uurimisandmete põhjal teadusartikli kirjutamist
- 2.  teab teadusartikli kirjutamise põhitõdesid ja vormistamise reegleid
- 3. teab publitseerimisega seonduvaid eetikapõhimõtteid
- 4. oskab kasutada kirjanduse viidete haldamise tarkvara
- 5. teab, kuidas vastata teadusartikli hindajatele",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,doktoriõpe,"Kursuse hinne / kursusel osalemine loetakse arvestatuks kui doktorant on osalenud koolitusel kõikidel päevadel ja on esitanud iseseisvad tööd.
The participants will pass the course if they have taken part of the course every day and have submitted their independent works.",,
ARTH.02.079,Tervishoiu organisatsioon ja seadusandlus,4.0,sügis,"Kursusel käsitletakse peamisi tervishoiukorralduslikke põhimõtteid, antakse ülevaade Eesti tervishoiusüsteemi kujunemisest, rahvatervise ja tervishoiu organisatsioonist ning kehtivast Eesti seadusandlusest. Hinnatakse Eesti tervishoiusüsteemi toimimist muu maailma kontekstis.",,Liis Rooväli,"- Õppeaine läbinu:
- - tunneb peamisi tervisekorralduslikke põhimõtteid;
- - omab ülevaadet peamistest Eestis toimunud tervishoiureformidest ja nende eesmärkidest ning oskab neid analüüsida mujal maailmas toimunud arengute kontekstis;
- - omab ülevaadet Eesti rahvatervise ja tervishoiu korraldusest ning tunneb valdkonda reguleerivat seadusandlust ning regulatsioone;
- - oskab kirjeldada tervishoiusüsteemi funktsioone ja eesmärke;
- - oskab leida ja kasutada erinevat tüüpi tervisealast informatsiooni rahvatervise ja tervishoiu sisendite, protsesside ja väljundite hindamiseks.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"Eksamil hinnatakse magistrantide:
- teadmisi peamistest tervishoiukorralduslikest põhimõtetest
- orienteerumist tervishoiureformides;
- teadmisi arstiabi ja rahvatervishoiu organisatsioonist ja toimimisest Eestis;
- orienteerumist Eesti tervishoiualases seadusandluses ning peamiste arstiabi käsitlevate õigusaktide ja regulatsioonide tundmist.","Kursus lõpeb suulise eksamiga. 
Aine hinne kujuneb järgmiselt:
      50% eksam
      50% esitatud ja ettekantud seminaritöö.
Eksami sooritamise eelduseks on aktiivne osalemine õppetööl, õigeaegne seminaritöö esitamine ja ettekandmine ning ühe teise iseseisva töö retsenseerimine.",
LOFY.02.063,Materjaliteaduse tööpraktika,3.0,sügis,"Kursuse sisuks on üliõpilase praktiline töö ettevõttes (tootmisettevõte, uurimisasutus, õppeasutus) ja tuvumine ettevõtte tegevuse erinevate aspektidega (töökorraldus, tehnoloogia, kvaliteedikontroll jt). Praktika kohta esitab üliõpilane vormikohase aruande ja teeb seminaris ettekande.",,Laurits Puust,"- Praktika järel on üliõpilasel praktilise töö kogemus ettevõttes (tootmisettevõte, uurimisasutus, õppeasutus) ja ta on tutvunud ettevõtte tegevuse erinevate aspektidega (töökorraldus, tehnoloogia, kvaliteedikontroll jt).",eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, magistriõpe",Arvestuse saamiseks tuleb esitada kirjalik praktika aruanne ja teha suuline ettekanne,Arvestuse saamiseks tuleb esitada kirjalik praktika aruanne ja teha suuline ettekanne,
SOPH.00.270,"Uurimus, andmed ja interpretatsioon",6.0,sügis,"Kursuse sisuks on seminaride ja loengute vormis käsitleda uurimistöö erinevaid etappe nende omavahelises seoses ja terviklikkuses. Tähelepanu keskmes on uurimus - alates hüpoteeside püstitusest  ja lõpetades uurimistöö sisuliste järeldustega. Läbivaks seminariteemaks on erinevad uurimistöö mudelid, analüüsimeetodid, ja andmete interpreteerimisvõimalused. Põhiteemad: uurimuse plaan, loogika, ülesehitus; uurimusmudelid ja nende headus; andmetöötlus; andmetest tehtavad järeldused.",,"Aire Raidvee, Jüri Allik, Kairi Kreegipuu, Kari Kuulman, Pirko Tõugu, Uku Vainik","- Kursuse läbinud tudeng
- * oskab otsida teaduskirjandust ja selle sobivust hinnata
- * oskab püstitada uurimisküsimust
- * on kursis psühholoogiste mõõdikute valimise dilemmadega
- * tunneb andmeanalüüsis võimsuse ja mitmikvõrdluse probleeme
- * tunneb põhjusliku analüüsi peamisi aspekte
- * on kursis uurmistulemuste interpreteerimise kaalutlustega
- * tunneb akadeemilise kirjutamise peamisi reegleid",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"Hindamine on eristav, 100 punkti on võimalik saada järgmiste tegevuste eest:

Plokkides 1-6 osalemine ja õigeagselt esitatud kodutööd: 6 x 10 punkti
Lõpuseminaris osalemine ja õigeagselt esitatud lõputöö: 40 punkti",Hindamine toimub läbivalt aine jooksul. Hinde moodustab aktiivne osalemine seminarides ja kodutööde tegemine. Aktiivne osalemine tähendab peale kohaloleku ka seminarides jagatavate tekstide lugemist ning asjakohaste küsimuste esitamist.,
